text,intent
dale converti texto.txt en formato pdf,archivoAaPDF
seria bueno si renombrar notas.txt por dataset.csv,renombrar
seria bueno si cambia el nombre de datos.csv a notas_nuevo.txt,renombrar
eh convertir reporte.txt a PDF,archivoAaPDF
PODES QUIERO ESCRIBIR NOTAS.TXT,crea
podes escribi nuevo resumen despues de total en notas.txt,modificaDondeDice
eh hace texto de informe.pdf,PDFaTexto
escribi calculo despues de resumen en reporte.txt,modificaDondeDice
cuando puedas traslada plan.txt hacia proyectos/,mover
por favor saca viejo.txt,eliminARchivo
podes abrir reporte.txt,leerArchivo
eh cambia la palabra dato por nuevo dato en notas.txt,reemplazar
cuando puedas pasa teto.txt a pdf,archivoAaPDF
cuando  puedas  converti  documento.pdf  en  texto  plano,PDFaTexto
escribi informacion actualizada despues de resumen en plan.txt,modificaDondeDice
cambia la palabra mundo por planeta en notas.txt,reemplazar
porfa pasa documento.pdf a txt,PDFaTexto
inserta nuevo resumen antes de resumen en notas.txt,modificaDondeDice
podes converti documento.pdf en texto plano,PDFaTexto
podes move reporte.docx al directorio proyectos/,mover
necesito pasa notas.txt a pfd,archivoAaPDF
cuando puedas duplicar datos.csv a backup/,copiar
podes elimina la palabra dato de reporte.txt,sacarLoQueDice
dale hace texto de reporte.pdf,PDFaTexto
seria bueno si encontra el archivo reporte.docx,buscarArchivo
quiero reemplaza hola por planeta en reporte.txt,reemplazar
seria bueno si elimina la palabra dato de plan.txt,sacarLoQueDice
necesito hace una copia de reportes/ dentro de respaldo/,dupdic
eh pasa plan.txt dentro de docs/,mover
necesito localizar informe.txt en todo el disco,buscarArchivo
podes encontra proyectos,buscarCarpeta
DALE QUIERO BORRAR VIEJO.TXT,eliminARchivo
dale hace un pdf con informe.txt,archivoAaPDF
necesito haceme generar notas.txt,crea
quiero elimina la palabra hola de reporte.txt,sacarLoQueDice
dale traslada proyectos/ hacia backup/,movdic
dale localizar imagenes en todo el disco,buscarCarpeta
por favor extrae el texto de reporte.pdf,PDFaTexto
seria bueno si extrae el texto de documento.pdf,leerPDF
por favor duplicar la carpeta imagenes/ en backup/,dupdic
eh borra basura.pdf que ya no sirve,eliminARchivo
verificar informe.txt en todo el disco,buscarArchivo
necesito pasa reporte.pdf a txt,PDFaTexto
haceme el favor de mostrame lo que dice reporte.pdf,leerPDF
haceme el favor de quiero hacer diario.txt,crea
dale pasa teto.txt a pdf,archivoAaPDF
haceme el favor de renombra plan.txt a dataset.csv,renombrar
necesito encontra imagenes,buscarCarpeta
seria bueno si pone nuevo resumen donde dice hola dentro de reporte.txt,modificaDondeDice
necesito necesito escribir un nuevo archivo reporte.docx,crea
por favor buscar el archivo llamado reporte.docx,buscarArchivo
haceme el favor de traslada reportes/ hacia backup/,movdic
EH PONE CALCULO DONDE DICE DATO DENTRO DE NOTAS.TXT,modificaDondeDice
porfa ver el contenido de informe.pdf,leerPDF
che ver todos los archivos .pdf en proyectos/,listarTipo
che transformar informe.pdf a texto,PDFaTexto
haceme el favor de pasa reporte.docx dentro de backup/,mover
PORFA  AGREGA  CALCULO  DONDE  DIGA  DATO  EN  NOTAS.TXT,modificaDondeDice
por favor ver el contenido de reporte.pdf,leerPDF
che crea nuevo.txt,crea
podes inserta informacion actualizada antes de hola en notas.txt,modificaDondeDice
seria bueno si mostrame lo que dice informe.pdf,leerPDF
necesito inserta calculo antes de resumen en reporte.txt,modificaDondeDice
haceme el favor de ver todos los archivos .txt en backup/,listarTipo
eh elimina la palabra resumen de notas.txt,sacarLoQueDice
inserta calculo antes de resumen en reporte.txt,modificaDondeDice
haceme el favor de transforma informe.txt en un pdf,archivoAaPDF
haceme el favor de transformar reporte.txt a PDF,archivoAaPDF
necesito extrae el texto de informe.pdf,PDFaTexto
dale mostrame los .csv que haya en backup/,listarTipo
haceme el favor de cambia dato por planeta dentro de notas.txt,reemplazar
cuando puedas lista los archivos .pdf dentro de backup/,listarTipo
por favor quiero leer notas.txt,leerArchivo
porfa duplica reportes/ a backup/,dupdic
dale leer el contenido de documento.pdf,leerPDF
haceme el favor de pasa plan.txt a seguridad/,copiar
che encontra el archivo plan.pdf,buscarArchivo
necesito move reporte.docx al directorio proyectos/,mover
seria bueno si armar un archibo llamado nuevo.txt,crea
dale quita total del archivo reporte.txt,sacarLoQueDice
seria bueno si quita dato del archivo notas.txt,sacarLoQueDice
haceme el favor de lista los archivos .pdf dentro de docs/,listarTipo
haceme el favor de genera el archivo notas.txt,crea
CHE TRANSFORMAR DOCUMENTO.PDF A TEXTO,PDFaTexto
necesito extrae el texto de informe.pdf,PDFaTexto
por favor borra reporte.docx que ya no sirve,eliminARchivo
che buscar todos los archivos .pdf en proyectos/,listarTipo
cuando puedas ponele notas_nuevo.txt a notas.txt,renombrar
seria bueno si move proyectos/ dentro de backup/,movdic
cuando puedas renombrar notas.txt por plan_2025.txt,renombrar
copiar plan.txt a backup/,copiar
seria bueno si converti informe.pdf en texto plano,PDFaTexto
eh copiar plan.txt a docs/,copiar
che escribi adios despues de resumen en plan.txt,modificaDondeDice
por favor quiero borrar basura.pdf,eliminARchivo
pone calculo donde dice dato dentro de reporte.txt,modificaDondeDice
necesito cambia la palabra dato por planeta en notas.txt,reemplazar
SERIA BUENO SI ENCONTRAR IMAGENES EN TODO EL DISCO,buscarCarpeta
quiero borra basura.pdf que ya no sirve,eliminARchivo
cuando puedas respaldar la carpeta proyectos/ en respaldo/,dupdic
podes pasa plan.txt a backup/,copiar
renombrar reporte.docx por dataset.csv,renombrar
quiero encontrar reporte.docx en todo el disco,buscarArchivo
por favor saca viejo.txt,eliminARchivo
haceme el favor de mostrame los .txt que haya en proyectos/,listarTipo
podes pasa reporte.pdf a txt,PDFaTexto
quiero hace una copia de informe.docx en backup/,copiar
quiero elimina la palabra resumen de plan.txt,sacarLoQueDice
porfa cambia resumen por planeta dentro de plan.txt,reemplazar
mostrar todos los archivos .csv en proyectos/,listarTipo
porfa traslada reporte.docx hacia docs/,mover
haceme el favor de elimina la palabra dato de plan.txt,sacarLoQueDice
dale traslada notas.txt hacia backup/,mover
podes transforma notas.txt en un pdf,archivoAaPDF
porfa pone nuevo resumen donde dice hola dentro de reporte.txt,modificaDondeDice
necesito quitar log.txt,eliminARchivo
cuando puedas podes producir un archivo diario.txt,crea
cuando puedas escribi informacion actualizada despues de dato en notas.txt,modificaDondeDice
porfa necesito crear un nuevo archivo reporte.docx,crea
dale ver todos los archivos .csv en backup/,listarTipo
porfa lista los archivos .pdf dentro de proyectos/,listarTipo
dale hace texto de informe.pdf,PDFaTexto
localiza informe.txt,buscarArchivo
reubicar reporte.docx a docs/,mover
por favor lista los archivos .csv dentro de backup/,listarTipo
duplicar la carpeta reportes/ en archivos/,dupdic
encontra el archivo reporte.docx,buscarArchivo
eliminar basura.pdf,eliminARchivo
porfa duplicar la carpeta reportes/ en respaldo/,dupdic
che elimina la palabra dato de plan.txt,sacarLoQueDice
dale cambia el nombre de datos.csv a plan_2025.txt,renombrar
cuando puedas elimnar el archivo reporte.docx,eliminARchivo
dale escribi adios despues de hola en reporte.txt,modificaDondeDice
necesito hace texto de documento.pdf,PDFaTexto
quitar el archivo basura.pdf,eliminARchivo
EH CONVERTI INFORME.PDF EN TEXTO PLANO,PDFaTexto
elimina la palabra dato de notas.txt,sacarLoQueDice
cuando puedas pasa datos.csv a docs/,copiar
por favor quiero eliminar reporte.docx,eliminARchivo
dale saca todo lo que diga dato en reporte.txt,sacarLoQueDice
porfa hace una copia de proyectos/ dentro de backup/,dupdic
seria bueno si extraer el contenido de reporte.pdf,leerPDF
quiero transformar reporte.txt a PDF,archivoAaPDF
che renombrar plan.txt por reporte_final.docx,renombrar
che extraer el contenido de documento.pdf,leerPDF
QUIERO INSERTA NUEVO RESUMEN ANTES DE HOLA EN PLAN.TXT,modificaDondeDice
dale mostrame el contenido de notas.txt,leerArchivo
necesito mostrame los .csv que haya en docs/,listarTipo
TRANSFORMA INFORME.TXT EN UN PDF,archivoAaPDF
podes saca todo lo que diga resumen en notas.txt,sacarLoQueDice
podes duplica informe.docx dentro de seguridad/,copiar
seria bueno si deja notas.txt con el nombre notas_nuevo.txt,renombrar
por favor extrae el texto de documento.pdf,leerPDF
che pasa plan.txt a backup/,copiar
seria bueno si extrae el texto de documento.pdf,leerPDF
eh localiza reporte.docx,buscarArchivo
por favor borra reporte.docx que ya no sirve,eliminARchivo
cuando puedas encontrar la carpeta documentos,buscarCarpeta
dale clonar la carpeta reportes/ en archivos/,dupdic
seria bueno si extrae el texto de informe.pdf,leerPDF
podes localizar el archivo llamado informe.txt,buscarArchivo
extraer el contenido de reporte.pdf,leerPDF
cuando puedas pone calculo donde dice total dentro de notas.txt,modificaDondeDice
dale lista los archivos .pdf dentro de proyectos/,listarTipo
quiero borra lo que diga resumen en plan.txt,sacarLoQueDice
move plan.txt al directorio backup/,mover
eh traslada proyectos/ hacia backup/,movdic
EH BUSCAR LA CARPETA IMAGENES,buscarCarpeta
quiero extraer el contenido de documento.pdf,leerPDF
sacar reporte.docx,eliminARchivo
podes inserta calculo antes de hola en notas.txt,modificaDondeDice
porfa buscar la carpeta imagenes,buscarCarpeta
haceme el favor de reubicar plan.txt a docs/,mover
DALE CONVERTI REPORTE.TXT EN FORMATO PDF,archivoAaPDF
dale copiar la carpeta proyectos/ en respaldo/,dupdic
quiero borra lo que diga hola en plan.txt,sacarLoQueDice
cuando puedas leer el contenido de documento.pdf,leerPDF
podes ponele dataset.csv a datos.csv,renombrar
che genera el archivo diario.txt,crea
necesito quiero quitar reporte.docx,eliminARchivo
pasa reporte.docx dentro de docs/,mover
quiero quiero leer informe.txt,leerArchivo
cuando puedas duplica reportes/ a archivos/,dupdic
QUIERO LISTA LOS ARCHIVOS .PDF DENTRO DE BACKUP/,listarTipo
NECESITO MOSTRAME EL CONTENIDO DE REPORTE.TXT,leerArchivo
seria bueno si deja datos.csv con el nombre plan_2025.txt,renombrar
quiero escribi adios despues de dato en notas.txt,modificaDondeDice
podes quita dato del archivo reporte.txt,sacarLoQueDice
pasa plan.txt dentro de docs/,mover
por favor abri informe.txt,leerArchivo
haceme el favor de necesito escribir un nuevo archivo nuevo.txt,crea
quiero deja notas.txt con el nombre reporte_final.docx,renombrar
che quita total del archivo reporte.txt,sacarLoQueDice
cuando puedas pasa texto.txt a pdf,archivoAaPDF
quiero hace un pdf con texo.txt,archivoAaPDF
porfa inserta informacion actualizada antes de total en reporte.txt,modificaDondeDice
extrae el texto de informe.pdf,leerPDF
seria bueno si pasa notas.txt dentro de proyectos/,mover
seria bueno si mostrame lo que dice informe.pdf,leerPDF
haceme el favor de ver todos los archivos .txt en proyectos/,listarTipo
cuando puedas respaldar la carpeta reportes/ en respaldo/,dupdic
cuando puedas extrae el texto de informe.pdf,leerPDF
encontrar el archivo llamado plan.pdf,buscarArchivo
move plan.txt al directorio docs/,mover
necesito localizar la carpeta documentos,buscarCarpeta
quiero abri notas.txt,leerArchivo
eh borra lo que diga resumen en reporte.txt,sacarLoQueDice
haceme el favor de leer el contenido de reporte.pdf,leerPDF
por favor ponele reporte_final.docx a plan.txt,renombrar
PODES MOSTRAME LOS .CSV QUE HAYA EN PROYECTOS/,listarTipo
quiero localiza la carpeta imagenes,buscarCarpeta
por favor move plan.txt al directorio proyectos/,mover
porfa transforma notas.txt en un pdf,archivoAaPDF
por favor pone informacion actualizada donde dice total dentro de notas.txt,modificaDondeDice
necesito quita total del archivo notas.txt,sacarLoQueDice
mostrame  el  contenido  de  notas.txt,leerArchivo
eh lista los archivos .csv dentro de docs/,listarTipo
podes cambia la palabra dato por planeta en reporte.txt,reemplazar
porfa saca todo lo que diga dato en plan.txt,sacarLoQueDice
che buscar plan.pfd en todo el disco,buscarArchivo
converti informe.txt en formato pdf,archivoAaPDF
podes hace una copia de reportes/ dentro de respaldo/,dupdic
porfa pasar texto.txt a PDF,archivoAaPDF
seria bueno si extrae el texto de informe.pdf,PDFaTexto
porfa converti informe.pdf en texto plano,PDFaTexto
por favor buscar documentos en todo el disco,buscarCarpeta
haceme el favor de trasladar reporte.docx a proyectos/,mover
quiero hace una copia de informe.docx en docs/,copiar
cuando puedas encontra el archibo reporte.docx,buscarArchivo
buscar documentos en todo el disco,buscarCarpeta
eh verificar el archibo llamado plan.pdf,buscarArchivo
quiero sacar viejo.txt,eliminARchivo
porfa pasa texto.txt a pdf,archivoAaPDF
podes extrae el texo de reporte.pdf,leerPDF
podes duplica datos.csv dentro de docs/,copiar
quiero leer el contenido de reporte.pdf,leerPDF
eh leer el contenido de reporte.pdf,leerPDF
ponele plan_2025.txt a reporte.docx,renombrar
che ponele dataset.csv a datos.csv,renombrar
necesito encontra el archvo plan.pdf,buscarArchivo
seria bueno si traslada plan.txt hacia docs/,mover
podes  reemplaza  dato  por  chau  en  reporte.txt,reemplazar
necesito encontra imagenes,buscarCarpeta
porfa move notas.txt al directorio backup/,mover
haceme el favor de move reportes/ dentro de archivos/,movdic
porfa inserta informacion actualizada antes de hola en notas.txt,modificaDondeDice
podes duplica reportes/ a backup/,dupdic
porfa extrae el texto de reporte.pdf,PDFaTexto
dale lista los archivos .pdf dentro de docs/,listarTipo
porfa move imagenes/ dentro de archivos/,movdic
quiero necesito escribir un nuevo archivo notas.txt,crea
dale quiero leer notas.txt,leerArchivo
cuando puedas leer notas.txt,leerArchivo
porfa mostrar todos los archivos .csv en proyectos/,listarTipo
quiero hace una copia de plan.txt en backup/,copiar
seria bueno si clonar la carpeta reportes/ en archibos/,dupdic
encontra documentos,buscarCarpeta
porfa saca reporte.docx,eliminARchivo
necesito traslada reportes/ hacia respaldo/,movdic
eh traslada imagenes/ hacia archivos/,movdic
dale extrae el texto de reporte.pdf,leerPDF
CHE REMOVER EL ARCHIVO VIEJO.TXT,eliminARchivo
QUIERO REEMPLAZA DATO POR NUEVO RESUMEN EN REPORTE.TXT,reemplazar
dale mostrame lo que dice informe.pdf,leerPDF
che pasa plan.txt dentro de backup/,mover
EH CAMBIA HOLA POR NUEVO RESUMEN DENTRO DE REPORTE.TXT,reemplazar
eh buscar todos los archivos .txt en docs/,listarTipo
cuando puedas localizar informe.txt en todo el disco,buscarArchivo
che quiero sacar log.txt,eliminARchivo
borra log.txt que ya no sirve,eliminARchivo
eh convertir reporte.pdf a texto,PDFaTexto
localiza informe.txt,buscarArchivo
podes buscar reporte.docx en todo el disco,buscarArchivo
quiero encontra el archivo reporte.docx,buscarArchivo
por favor reubicar la carpeta proyectos/ a backup/,movdic
dale traslada imagenes/ hacia archivos/,movdic
haceme el favor de lista los archivos .csv dentro de backup/,listarTipo
dale saca viejo.txt,eliminARchivo
porfa move reporte.docx al directorio backup/,mover
quiero quiero leer reporte.txt,leerArchivo
dale renombrar reporte.docx por plan_2025.txt,renombrar
por favor leer reporte.txt,leerArchivo
cuando puedas abri reporte.txt,leerArchivo
necesito extrae el texto de informe.pdff,leerPDF
cuando puedas cambia el nombre de plan.txt a notas_nuevo.txt,renombrar
porfa hace una copia de plan.txt en backup/,copiar
podes borra basura.pdf que ya no sirve,eliminARchivo
necesito ponele dataset.csv a notas.txt,renombrar
mover la carpeta reportes/ a archivos/,movdic
NECESITO MOSTRAME LOS .CSV QUE HAYA EN BACKUP/,listarTipo
eh mostrame lo que dice documento.pdf,leerPDF
dale copiar informe.docx a backup/,copiar
quiero respaldar la carpeta proyectos/ en backup/,dupdic
POR FAVOR TRASLADA PROYECTOS/ HACIA BACKUP/,movdic
seria bueno si encontra el archivo reporte.docx,buscarArchivo
por favor localiza la carpeta proyectos,buscarCarpeta
che extrae el texto de informe.pdf,PDFaTexto
che localiza informe.txt,buscarArchivo
cuando puedas move plan.txt al directorio proyectos/,mover
dale localizar la carpeta proyectos,buscarCarpeta
cuando puedas traslada plan.txt hacia backup/,mover
haceme el favor de leer reporte.txt,leerArchivo
quiero localizar la carpeta imagenes,buscarCarpeta
quiero respaldar la carpeta proyectos/ en backup/,dupdic
eh escribi informacion actualizada despues de resumen en notas.txt,modificaDondeDice
seria bueno si agrega informacion actualizada donde diga hola en notas.txt,modificaDondeDice
dale hace una copia de imagenes/ dentro de archivos/,dupdic
porfa duplica imagenes/ a backup/,dupdic
quiero abrir el archivo informe.txt,leerArchivo
por favor escribi calculo despues de hola en notas.txt,modificaDondeDice
por favor borrar el archivo reporte.docx,eliminARchivo
che consultar el archivo reporte.txt,leerArchivo
cuando puedas renombrar notas.txt por reporte_final.docx,renombrar
por favor duplicar plan.txt a backup/,copiar
DALE HACE TEXTO DE DOCUMENTO.PDF,PDFaTexto
porfa cambia la palabra resumen por planeta en reporte.txt,reemplazar
por favor inserta adios antes de hola en reporte.txt,modificaDondeDice
verificar reporte.docx en todo el disco,buscarArchivo
necesito quiero borrar basura.pdf,eliminARchivo
quiero pasar reporte.txt a PDF,archivoAaPDF
quiero pasa plan.txt a backup/,copiar
podes quiero sacar reporte.docx,eliminARchivo
eh abri informe.txt,leerArchivo
haceme el favor de mostrar todos los archivos .pdf en proyectos/,listarTipo
quiero pasa notas.txt dentro de docs/,mover
seria bueno si convertir notas.txt a PDF,archivoAaPDF
por favor hace una copia de informe.docx en backup/,copiar
porfa ver el contenido de informe.pdf,leerPDF
necesito extraer el contenido de reporte.pdf,leerPDF
SERIA BUENO SI PASA NOTAS.TXT DENTRO DE PROYECTOS/,mover
por favor abri reporte.txt,leerArchivo
necesito genera el archivo notas.txt,crea
cuando puedas localiza la carpeta documentos,buscarCarpeta
eh mostrar notas.txt,leerArchivo
necesito transformar documento.pdf a texo,PDFaTexto
eh respaldar plan.txt a backup/,copiar
por favor genera el archivo nuevo.txt,crea
porfa transforma notas.txt en un pdf,archivoAaPDF
por favor mobver notas.txt a proyectos/,mover
haceme el favor de lista los archvos .csv dentro de backup/,listarTipo
eh pasa reporte.docx dentro de proyectos/,mover
dale quiero sacar basura.pdf,eliminARchivo
porfa traslada reportes/ hacia respaldo/,movdic
necesito escribi calculo despues de resumen en notas.txt,modificaDondeDice
quiero trasladar reporte.docx a proyectos/,mover
cuando puedas quita total del archivo plan.txt,sacarLoQueDice
dale ponele reporte_final.docx a datos.csv,renombrar
haceme el favor de renombra notas.txt a plan_2025.txt,renombrar
haceme el favor de quiero remover reporte.docx,eliminARchivo
podes pasar informe.pdf a texto,PDFaTexto
podes move plan.txt al directorio docs/,mover
seria bueno si transforma notas.txt en un pdf,archivoAaPDF
podes borra lo que diga hola en plan.txt,sacarLoQueDice
che extrae el texto de reporte.pdf,leerPDF
che mostrame el contenido de informe.txt,leerArchivo
podes quitar el archivo basura.pdf,eliminARchivo
necesito reemplaza dato por chau en plan.txt,reemplazar
che haceme hacer diario.txt,crea
haceme el favor de hace un pdf con reporte.txt,archivoAaPDF
POR FAVOR REMOVER EL ARCHIVO LOG.TXT,eliminARchivo
cuando puedas mostrar todos los archivos .csv en proyectos/,listarTipo
podes agrega calculo donde diga dato en notas.txt,modificaDondeDice
cuando puedas copiar datos.csv a docs/,copiar
seria bueno si genera el archivo notas.txt,crea
necesito lista los archivos .txt dentro de proyectos/,listarTipo
cuando puedas saca reporte.docx,eliminARchivo
necesito hace texto de documento.pdf,PDFaTexto
QUIERO CONVERTI REPORTE.PDF EN TEXTO PLANO,PDFaTexto
che localiza la carpeta proyectos,buscarCarpeta
porfa quiero remover viejo.txt,eliminARchivo
eh cambia el nombre de plan.txt a notas_nuevo.txt,renombrar
por favor encontrar informe.txt en todo el disco,buscarArchivo
dale reemplaza mundo por planeta en notas.txt,reemplazar
dale elimina la palabra dato de notas.txt,sacarLoQueDice
porfa elimina la palabra total de plan.txt,sacarLoQueDice
seria bueno si lista los archivos .csv dentro de docs/,listarTipo
dale podes escribir un archivo nuevo.txt,crea
eh renombrar notas.txt por plan_2025.txt,renombrar
por favor traslada proyectos/ hacia respaldo/,movdic
cuando puedas transforma reporte.txt en un pdf,archivoAaPDF
cambia el nombre de reporte.docx a dataset.csv,renombrar
che quitar el archivo basura.pdff,eliminARchivo
dale lista los archivos .csv dentro de backup/,listarTipo
podes extrae el texto de reporte.pdf,leerPDF
eh extrae el texto de reporte.pdf,leerPDF
dale agrega calculo donde diga dato en plan.txt,modificaDondeDice
che ponele dataset.csv a reporte.docx,renombrar
eh encontra proyectos,buscarCarpeta
che mostrame los .txt que haya en docs/,listarTipo
inserta calculo antes de total en reporte.txt,modificaDondeDice
move proyectos/ dentro de archivos/,movdic
cuando puedas pasa reporte.docx dentro de proyectos/,mover
dale hace un pdf con texto.txt,archivoAaPDF
por favor leer el archivo informe.txt,leerArchivo
haceme el favor de encontrar proyectos en todo el disco,buscarCarpeta
seria bueno si cambia mundo por nuevo resumen dentro de notas.txt,reemplazar
dale localizar la carpeta documentos,buscarCarpeta
LOCALIZAR INFORME.TXT EN TODO EL DISCO,buscarArchivo
quiero duplica proyectos/ a backup/,dupdic
por favor deja datos.csv con el nombre reporte_final.docx,renombrar
necesito hace un pdf con informe.txt,archivoAaPDF
che localiza reporte.docx,buscarArchivo
